gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
Trmt2b,12.81,9.01,13.31,13.63,10.7,6.82,3.62,2.25,4,3.89,5.96
Trmt6,10.1,21.07,11.27,16.25,3.95,5.89,8.9,3.31,12.6,12,9.26
Trnau1ap,44.3,59.52,55.64,40.06,60.58,48.09,23.49,27.56,34.85,51.25,39.74
Trnt1,29.55,49.3,68.39,51.69,49.48,45.6,33.32,51.26,48.45,40.26,41.84
Trp53,27.21,32.03,45.86,32.16,39.28,59.6,72.93,48.68,51.79,51.85,49.97
Trp53bp1,34.08,27.21,22.94,33.28,37.66,16.25,15.3,22.58,24.78,32.84,33.69
Trp53bp2,9.27,9.74,8.91,10.22,7,5.25,2.79,7.59,3.36,0.81,6.66
Trp53i11,8.01,3.01,4.85,4.19,7.42,4.49,5.23,10.25,1.23,2.56,16.62
Trp53i13,8.98,10.87,4.21,6.33,1.86,8.22,10.18,7.33,6.35,8.9,5.22
Trp53inp1,10.77,6.13,7.63,6.39,10.63,1.89,2,15.32,2.01,12.13,11.25
Trp53inp2,120.48,67.13,65.59,54.05,137.36,61.25,37.21,68.62,36.64,70.43,52.83
Trp53rkb,2.01,1.14,1.89,8.35,1.28,6.48,10.13,3.28,1.6,8.21,8.64
Trpc4ap,49.61,44.42,33.62,46.79,19.31,23.78,28.51,27.26,44.32,21.59,33.4
Trpm2,4.9,0.71,4.33,1.35,2.03,5.98,11.54,4.17,12.12,6.12,8.42
Trpm7,34.59,18.68,23.09,14.69,19.65,29.98,20.05,25,12.07,21.41,14.32
Trpv2,2.99,2.01,6.05,5.45,4.93,3.47,6.27,5.51,6.88,6.16,4.36
Trrap,6.62,12.72,5.94,7.12,8.72,17.28,10.88,12.08,10.64,10.82,8.11
Trub2,45.36,91.86,45.29,43.2,36.49,31.15,29.41,24.33,21.86,12.8,29.02
Try5,7.01,519.06,7.49,12.94,11.51,25.45,5.56,0,24.03,0,0
Tsc1,17.83,23.35,13.79,9.49,13.24,11.6,7.63,11.11,5.9,11.5,14.71
Tsc2,9.99,4.44,29.93,20.8,12.62,8.11,10.91,12.48,19.54,19.62,17.06
Tsc22d1,23.41,9.95,8.22,3.63,7.83,9.75,7.69,3.49,1.31,2.75,6.74
Tsc22d2,15.28,14.64,16.2,18.36,20.7,14.65,14.35,18.73,14.33,19.26,18.56
Tsc22d3,791.38,317.2,624.44,292.85,731.04,269.4,109.1,465.05,201.39,455.56,448.21
Tsc22d4,22.04,38.99,25.92,47.31,53.3,16.04,51.78,37.13,37.65,59.28,38.63
Tsen15,8.45,16.35,7.15,10.76,18.22,9.72,6.85,13.89,0.98,15.62,3.86
Tsen34,3.23,2.9,5.29,5.69,4.9,10.31,4.42,12.96,5.6,4.8,6.44
Tsg101,108.58,162.37,90.69,192.9,126.32,120.56,133.02,121.12,96.45,130.28,136.03
Tsga10,3.51,3.45,3.23,1.8,6.11,2.45,1.86,4.87,5.34,3.86,4.13
Tshz1,3.89,3.02,2.63,3.22,1.1,2.58,3.7,3.04,0.54,3.7,2.02
Tsn,33.81,91.94,79.75,40.87,65.38,69.75,35.09,44.9,58.17,40.66,42.04
Tsnax,27.15,29.15,31.3,17.91,26.62,16.07,28.43,15.24,13.23,17.11,19.82
Tspan13,685.29,917.9,927.42,910.32,801.74,456.39,407.01,454.31,407.47,441.1,395.33
Tspan14,85.15,102.42,131.52,97.87,126.53,65.56,54.67,81.76,74.65,111.48,78.58
Tspan2,24.37,28.62,10.48,24.61,16.71,14.38,18.4,14.18,16.19,21.15,15.49
Tspan3,10.91,20.05,12.71,13.53,18.28,4.06,9.57,14,6.1,5.78,3.58
Tspan32,74.54,85.95,76.4,87.98,90.39,47.75,77.87,84.72,76.44,54.96,75.92
Tspan5,1.65,3.06,2.68,0.47,3.72,1.78,2.16,3.09,4.28,3.45,0.8
Tspo,97.17,128.22,132.02,168.8,131.29,200.78,259.72,117.81,192.97,225.37,279.03
Tspoap1,2.74,4.21,0.77,4.05,7.85,1.86,5.52,1.43,0.6,3.51,2.21
Tspyl1,101.33,106.43,138.2,79.33,122.08,90.92,54.93,94.2,55.38,83.8,84.66
Tspyl2,24.88,7.4,11.45,7.2,3.15,8.62,5.67,5,2.06,4.37,2.41
Tsr1,6.3,15.28,5.57,10.48,2.93,22.14,29.53,15.78,8.48,12.97,16.32
Tsr2,25.3,8.17,18.02,12.1,12.65,9.86,11.69,1.04,6.44,9.15,2.97
Tssc4,7.36,19.35,14.35,7.83,18.46,15.4,15.9,23.57,7.7,8.49,9.32
Tst,16.81,21.75,26.96,7.53,10.38,14.11,16.64,44.18,5.33,16.71,16.69
Tsta3,10.52,23.32,22.83,25.55,23.6,18.22,20.29,25.06,21.79,36.97,24.04
Tstd2,22.26,13.52,12.69,13.54,15.21,8.56,7.88,9.2,17.37,10.86,5.47
Tstd3,2.57,4.13,3.81,5.72,2.74,0.37,2.19,4.21,9.57,6.77,5.89
Ttbk2,1.46,0.56,1.38,1.02,1.23,0.77,0.11,0.66,0.35,0.57,1.09
Ttc1,56.91,61.77,63.83,56.26,44.35,55.44,41.15,61.5,33.84,34.5,37.12
Ttc13,7.16,4.56,2.6,8.26,9.45,5.23,1.79,7.17,4.41,3.86,9.1
Ttc14,22.81,44.63,23.6,38.58,29.12,20.63,27.11,27.53,22.52,27.25,38.73
Ttc17,26.34,37.61,27.12,21.48,47.6,24.45,35.46,23.79,21.85,21.52,26.16
Ttc19,15.56,11.67,5.84,7.67,8.69,10.13,10.77,10.98,8.56,10.54,9.43
Ttc28,1.72,1.42,2.43,1.76,5.37,0.74,1.5,0.17,0.68,0.16,1.7
Ttc3,4.8,10.23,9.57,8.77,17.32,9.18,1.52,9.11,3.26,7.7,8.7
Ttc32,24.82,9.31,10.03,11.8,11.64,11.83,17.61,30.64,21.57,13.77,32.93
Ttc33,15.68,8.76,13.31,18.63,26.37,7.67,6.94,6.77,20.35,23.72,10.72
Ttc38,2.95,6.28,2.36,2.86,7.11,2.1,0.82,4.99,2.99,3.7,1.72
Ttc39b,22.36,18.72,18.24,12.34,26.77,20.67,17.8,27.1,13.45,19.33,29.29
Ttc39c,0.72,5.77,2.03,0.6,4.06,8.05,9.74,8.18,7.31,2.2,6.58
Ttc4,41.5,12.59,15.87,4.41,16.95,5.07,11.41,12.95,3.82,6.3,4.47
Ttc5,24.7,30.92,35.89,30.57,36.68,11.51,22.82,22.51,47.91,22.13,27.01
Ttc7,38.28,32.66,54.35,55.05,38.37,40.91,38.81,34.95,58.76,41.69,45.87
Ttc7b,6.54,6.95,16.52,13.14,13.71,19.81,18.19,13.34,17.38,13.43,8.53
Ttc9c,19.18,25.25,19.03,14.7,17.33,17.74,14.16,16.54,10.65,13.67,20.79
Ttf1,11.93,12.4,6.25,11.26,9.06,29.01,5.29,6.77,4.28,9.11,9.52
Tti1,4.18,13.4,5.54,8.12,13.09,3.95,3.93,5.66,3.69,6.65,5.35
Tti2,7.12,8.55,7.13,8.27,4.6,8.36,5.81,4.81,3.67,3.29,1.52
Ttll3,19.4,28.78,22.96,32.15,41.97,25.81,21.98,27.72,22.68,22.47,24.24
Ttll5,5.75,9.98,4.43,8.93,3.32,1.19,12.29,2.81,0,4.05,1.03
Ttpal,29.42,40.11,21.01,44.38,45.73,41.2,50.58,62.63,51.62,33.32,46.65
Ttyh2,2.1,2.22,7.05,6.04,5.57,1.66,1.28,2.05,1.81,1.89,1.76
Ttyh3,5.31,2.07,4.99,2.66,6.32,3.87,2.52,4.76,1.55,4.24,3.23
Tuba1a,75.14,38.67,47.54,22.64,40.77,23.5,38.31,64.87,37.71,59.66,47.84
Tuba1b,285.14,194.83,313.98,196.24,293.03,155.58,112.67,203.15,129.62,145.83,204.31
Tuba1c,681.71,789.71,761.54,794.65,872.3,647.89,543.18,654.7,536.4,710.36,684.58
Tuba4a,266.01,133.94,249.21,162.93,226.5,143.7,107.51,181.05,159.26,224.69,232.75
Tuba8,29.54,6.92,28.01,16.31,32.17,12.92,14.13,29.53,6.48,45.68,49.45
Tubb2a,94.18,20.77,47.83,50.5,55.19,28.49,9.05,43.17,24.15,40.79,35.17
Tubb4b,183.29,113.01,162.26,126.12,149.36,84.33,78.7,160.67,66.62,105.35,113.43
Tubb5,81.73,81.81,109.71,91.95,87.79,65.22,54.02,100.51,66.86,101.58,112.01
Tubb6,37.46,5.27,11.97,8.43,17.76,2.63,9.3,18.12,3.95,5.24,4.52
Tubgcp2,5.85,12.3,14.07,7.02,8.8,7.27,4.03,8.94,6.16,11.41,11.8
Tubgcp3,11.84,16.68,35.14,25.06,21.79,13.68,9.83,10.43,8.66,7.07,22.23
Tubgcp4,14.45,29.35,25.41,8.19,17.24,23.42,22.76,22.24,10.15,16.22,15.62
Tubgcp5,3.38,1.38,4.04,4.11,8.52,7.35,0.71,1.09,2.29,7.42,3.2
Tubgcp6,7.56,0.89,4.7,7.5,4.8,7.15,6.09,6.76,4.65,4.43,4.21
Tufm,18.33,9.5,28.62,18.11,9.76,24.05,41.06,19.88,10.43,13.77,14.69
Tuft1,6.4,9.96,24.54,20.24,10.74,4.27,6.71,3.85,7.86,9.72,8.58
Tug1,71.36,61.6,70.61,63.27,96.09,70.59,44.28,50.89,32.31,58.27,51.69
Tulp4,20.68,20.6,26.06,8.94,27.73,21.84,19.1,23.42,7.09,25.58,18.63
Tusc2,6.86,13,1.2,15.83,11.63,8.77,3.31,5.29,8.13,9.99,11.13
Tut1,46.21,43.87,59.95,46.97,54.94,43.43,44.41,42.42,32.21,32.14,26.2
Tut4,34.76,85.54,25.39,63,51.78,48.01,51.24,40.82,42.83,55.15,24.44
Tut7,104.13,120.07,91.05,101.11,101.21,80.76,110.17,105.44,98.85,113.68,99.95
Tvp23b,30.75,51.97,41.16,48.69,43.63,24.53,29.38,31.95,43.78,40.83,29.19
Twf1,16.31,48.99,37.38,30.41,28.65,28.92,34.53,19.66,28,34.99,28.23
Twf2,65.77,50.73,65.74,63.6,63.69,61.06,61.35,90.43,70.4,79.6,69.91
Twistnb,31.56,23.63,27.32,16.69,19.03,18.53,29.31,26.98,31.26,27.67,16.89
Twnk,2.79,9.24,1.03,3.91,1.36,2.22,3.1,7.02,4.84,3.49,4.9
Twsg1,3.38,16.69,6.6,15.14,6.26,13.09,5.84,5.8,7.74,3.67,5.12
Txk,5.83,3.54,3.1,6.24,4.2,13,15.66,8.62,7.82,9.96,8.26
Txlna,13.17,10.65,15.2,18.88,16.37,4.69,8.24,9.99,5.93,9.51,4.27
Txlng,3.63,8.23,5.72,8.38,4.63,5.17,8.05,5.55,4.51,7.67,2.43
Txn1,262.25,175.16,249.87,192.89,203.26,342.61,330.93,384.92,448.78,420.3,391.59
Txn2,128.28,197.5,190.19,190.7,178.29,230.32,206.51,222.63,231.34,153.17,176.2
Txndc11,10.17,9.78,7.57,14.77,9.64,11.19,9.88,9.07,10.25,8.6,10.96
Txndc12,11.73,14.53,9.75,19.43,12.73,10.37,21.81,14.01,11.62,14.38,8.58
Txndc15,16.81,13.5,3.55,24.06,15.91,11.69,6.68,10.31,9.37,15.1,6.77
Txndc16,6.7,2.35,2.21,2.46,1.4,2.32,5.63,2.25,3.78,0.38,0.55
Txndc17,44.42,60.21,49.6,72.09,58.23,45.33,68.28,70.27,62.9,68.44,55.89
Txndc5,5.34,1.67,1.44,7.98,1.63,3.57,0,1.92,2.72,0,2.6
Txndc9,30.29,71.28,68.95,61.43,48.04,52,67.79,56,51.9,51.36,32.6
Txnip,697.23,761.74,813.17,576.49,621.46,697.44,606.56,672.56,577.91,500.09,606.85
Txnl1,133.95,167.54,145.78,264.97,171.67,135.05,191.23,141.06,211.22,148.53,135.56
Txnl4a,10.7,16.71,36.47,9.99,14.56,11.27,23.5,25.98,12.22,27.06,11.51
Txnl4b,11.12,14.13,3.78,12.99,6.3,8.44,4.62,6.41,1.81,11.34,3.19
Txnrd1,45.97,36.9,41.25,52.08,39.74,69.63,86,68.57,87.93,52.24,67.31
Txnrd2,25.75,31.01,25.49,18.52,19.3,40.87,19.58,15.98,24.17,26.6,13.59
Tyk2,7.91,9.77,11.18,12.76,13.44,12.55,17.1,11.7,15.19,14.02,10.52
Tyrobp,3517.35,5139.72,4339.99,5294.65,4259.66,5044.27,5240.67,5053.41,5770.64,4806.25,4703.89
Tysnd1,4.91,1.49,1.93,8.93,6.83,3.38,6.22,15.68,2.7,5.23,11.23
Tyw1,6.92,8.93,12.79,6.67,6.14,1.97,1.45,12.36,6.61,11.35,10.53
Tyw5,5.63,30.72,20.95,15.38,16.34,8.45,19.92,15.66,16.84,17.33,16.31
U2af1,244.57,391.68,315.87,257.62,266.27,343.54,375.12,306.47,228.51,214.09,197.68
U2af1l4,48.76,102.65,51.83,53.03,61.17,51.16,44.29,62.88,66.71,65.08,64.35
U2af2,40.42,27.55,18.36,23.85,34.1,20.3,32.13,27.2,36.4,43.75,28.93
U2surp,43.61,48.84,52.96,29.46,45.07,58.34,46.96,58.16,19.97,42.24,49.41
Uap1,24.71,17.04,13.61,20.57,15.04,43.29,12.95,58.16,19.53,28.7,20.62
Uap1l1,80.02,71.22,123.87,47.39,37.14,110.44,31.84,58.1,24.76,37.31,26.09
Uba1,40.72,54.46,54,61.84,51.84,36.62,35.08,36.68,25.26,30.55,32.74
Uba2,37.73,46.24,43.05,54.4,38.1,26.82,30.15,38.17,17.54,46.36,29.25
Uba3,22,22.03,17.01,15.28,20.78,11.37,10.42,16.85,4.61,18.4,8.75
Uba5,9.76,19.34,6.25,9.3,4.21,5.48,11.3,10.21,14.17,8.76,6.77
Uba52,1420.19,1422.34,1462.11,2014.42,1679.8,2282.21,2477.22,2381.73,2843.93,2438.22,2395.24
Uba6,8.71,11.19,9.85,12.05,8.03,10.13,11.46,6.32,5.88,6.63,5.85
Uba7,43.04,17.71,25.62,30.75,36.09,15.68,17.77,19,36.79,38.11,31.69
Ubac1,26.81,16.17,6.72,36.4,12.43,4.65,8.12,17.52,10.92,18,16.43
Ubac2,39.42,65.24,69.52,66,66.71,41.73,31.69,40.98,36.05,53.22,61.6
Ubald1,69.9,64.59,53.11,37.35,65.59,55.83,50.24,30.27,40.98,44.23,40.95
Ubald2,13.95,12.51,19.8,7.88,18.38,18.61,12.88,16.33,15.28,14.75,17.54
Ubap1,108.41,143.46,130.65,121.12,137.04,121.29,99.58,74.28,47.28,77.04,74.27
Ubap2,5.89,20.06,12.81,12.33,21.65,16.71,9.07,15.93,2.03,10.91,6.36
Ubap2l,150.95,120.72,154.38,119.21,145.03,174.01,160.06,156.14,86.63,114.06,121.9
Ubash3b,10.45,8.31,11.8,24,27.53,22.67,7.32,15.48,22.26,22.35,14.69
Ubb,3690.48,2140.38,3825.42,2089.63,2283.44,2046.9,1709.89,2566.45,1333.71,1680.09,1676.28
Ubc,1087.34,601.24,1052.3,681.06,822.66,489.65,323.27,634.53,347.31,407.92,406.78
Ube2a,214.25,217.51,248.41,155.02,121.09,248.98,295.8,253.32,226.85,170.41,198.85
Ube2b,438.85,470.09,562.4,344.55,365.53,384.59,319.75,411.85,378.46,294.94,333.05
Ube2d1,12.14,22.39,15.29,9.19,21.27,6.92,6.01,10.88,12.62,14.44,6.25
Ube2d2a,83.35,126.54,74.64,82.74,91.75,97.44,142.81,85.23,103.21,118.67,80.07
Ube2d3,490.19,870.06,492.03,773.42,485.59,637.61,791.13,559.49,528.14,451.83,442.35
Ube2e1,92.54,114.89,98.82,125.94,87.38,73.39,83.33,78.16,63.48,101.41,115.54
Ube2e3,49.19,54.1,56.58,70.01,31.09,91.72,100.39,60.89,112.31,55.95,73.05
Ube2f,65.95,72.13,75.28,75.3,62.24,104.22,145.88,84.24,85.7,110.33,74.5
Ube2g1,6.73,7.22,13.96,15.71,8.54,11.11,10.81,7.94,11.03,2.65,7.11
Ube2g2,48.24,90.49,47.95,71.35,44.95,37.12,75.47,64.67,40.42,38.2,42.82
Ube2h,22,31.44,31.73,24.15,18.64,31.93,35.04,31.99,24.17,18.65,24.37
Ube2i,232.35,371.09,305.21,311.94,295.06,309.24,318.71,283.66,279.21,245.72,288.92
Ube2j1,27.38,57.12,37.87,46.46,44.93,34.34,33.89,33.36,30.41,34.63,38.99
Ube2j2,48.56,72.77,52.11,55.84,46.64,60.99,55.92,62.86,71.52,54.59,43.8
Ube2k,102.73,96.73,70.38,92.37,69.72,93.23,98.92,85.03,84.33,55.23,69.75
Ube2l3,58.55,143.55,117.61,107.17,127.93,111.53,130.89,163.24,135.59,89.32,166.47
Ube2l6,8.34,13.14,7.78,6.08,5.13,10.58,5.37,19.64,2.61,9.52,13.25
Ube2n,301.68,307.52,209.32,304.93,228.87,262.04,297.42,258.63,266.05,249.84,256.4
Ube2o,7.48,0.55,1.35,3.95,2.91,1.18,1.92,2.19,0.89,2.02,1.41
Ube2q1,26.15,25.32,29.42,23.21,17.34,23.36,22.2,23.67,24.22,15.63,22.99
Ube2q2,1.76,7.09,9.52,6.57,13.45,4.5,2.13,6.67,1.31,2.61,3.07
Ube2r2,23.87,27.19,18.87,12.75,13.05,19.25,25,14.04,8.57,24.62,15.57
Ube2s,33.59,41.87,17.29,24.8,26.29,27.2,23.08,26.52,45.33,33.68,28.98
Ube2v1,68.07,156.13,93.26,113.24,91.89,82.04,127.04,97.06,94.92,63.65,69.73
Ube2v2,64.18,139.85,50.1,68.61,75.6,65.8,92.81,73.55,79.23,88.74,119.08
Ube2w,85.75,113.17,97.16,136.15,73.45,76.96,50.96,62.22,74.56,83.6,81.63
Ube2z,14.76,22.36,9.94,20.57,12.34,13.53,25.48,16.06,22.67,17.36,14.35
Ube3a,12.99,31.49,20.23,16.53,27.52,19.49,15.97,12.04,26.64,21.52,30.72
Ube3b,12.44,14.68,10.89,7.17,5.13,11.83,15.53,13.44,14.77,15.79,12.97
Ube3c,3.43,4.01,3.47,4.63,5.06,7.7,4.43,2.75,2.52,7.9,1.77
Ube4a,15.37,20.18,11.46,9.15,14.66,13.76,12.63,10.35,16.24,13.96,15.2
Ube4b,6.07,12.5,3.57,14.07,9.74,16.51,20.58,9.55,4.27,24.95,23.72
Ubfd1,6.25,6.61,8.87,5.6,2.87,2.72,5.58,5.51,5.76,5.53,2.31
Ubiad1,2.06,6.58,8.95,3.48,2.42,3.03,7.16,4.2,0.31,6.51,0.19
Ubl3,108.79,115.93,85.48,144.7,139.23,101.9,92.3,89.58,99.29,82.82,78.44
Ubl4a,11.16,24.26,13.76,22.78,19.72,14.18,20.09,19.72,20.4,10.86,8.55
Ubl5,251.46,304.28,266.39,358.63,300.03,397.76,347.37,217.93,461.63,278.91,299.03
Ubl7,71.88,123.54,75.47,79.46,93.83,56.08,78.49,59.7,63.58,60.96,70.99
Ublcp1,27.49,37.76,22.61,33.14,32.6,21.76,17.63,14.86,24.8,45.52,27.04
Ubn1,96.68,67.44,61.35,78.75,59.61,38.34,29.14,35.78,31.19,54.06,30.23
Ubn2,10.37,24.63,7.11,6.29,8.04,6.6,4.78,7.82,5.24,7,6.14
Ubox5,2.68,7.5,2.86,2.88,2.24,0.28,0.33,4.67,0.48,1.76,1.63
Ubp1,19.06,38.54,34.77,37.06,19.34,31.58,41.34,22.47,25.98,33.84,25.34
Ubqln1,15.98,13.29,18.98,17.3,8.57,24.27,19.44,25.87,19.92,20.89,8.29
Ubqln2,3.11,5.82,1.44,1.95,4.47,4.11,0.75,3.71,4.74,2.88,1.67
Ubqln4,3.49,2.99,4.16,2.61,3.71,1.24,2.62,6.88,1.91,4.7,3.53
Ubr1,16.86,25.75,14,15.36,14.07,10.37,15.04,15.94,14.85,9.5,11.23
Ubr2,32.41,16.64,29.17,32.3,39.25,22.63,8.45,18.14,18.17,21.18,15.39
Ubr3,14.18,17.24,4.9,17.33,10.85,5.05,11.14,5.89,6.54,18.66,9.33
Ubr4,20.51,20.75,24.53,17.99,10.56,10.95,17.19,13.41,15.31,11.85,16.41
Ubr5,12.8,41.59,21.76,16.66,18.76,41.06,21.16,25.96,25.92,20.4,25.85
Ubr7,9.2,11.57,17.95,12.67,6.79,9.32,9.77,10.65,6.41,12.59,5.85
Ubtd1,14.77,24.07,11.52,23.56,16.25,15.96,13.31,12.75,11.69,28.82,26.75
Ubtf,26.5,18.96,23.22,18.83,19.56,17.31,14.08,18.03,18.9,11.72,12.86
Ubxn1,110.54,146.08,123.71,136.37,97.26,131.55,155.23,132.53,145.26,141.17,127.81
Ubxn2a,30.59,35.87,25.75,25.07,23.57,35.65,33.41,35.01,15.9,22.02,22.91
Ubxn4,131.02,63.55,92.06,64.21,70.23,89.92,70.79,96.45,50.44,65.75,71.9
Ubxn6,10.44,35.32,38.48,42.11,31.33,35.17,20.81,25.43,23.2,14.16,21.39
Ubxn7,1.78,3.47,3.84,1.7,10.58,0.8,2.22,4,0.44,1.48,1.16
Ubxn8,9.08,12.96,13.75,7.86,17.68,10.15,13.55,12.35,8.06,6.55,4.47
Uchl3,37.2,24.19,53.65,33.18,33.65,25.15,46.52,48.46,68.06,60.16,53.51
Uchl5,30.14,38.96,57.59,47.04,44.75,57.25,39.61,30.48,41.71,49.34,35.06
Uck1,60.98,73.84,71.43,69.43,73.72,59.32,51.67,50.53,41.9,48,44.81
Uckl1,105,60.5,80.71,91.75,89.72,76.01,51.17,61.88,72.35,64.79,75.95
Ucp2,418.56,532.8,530.27,487.25,551.71,508.54,447.56,429.49,378.08,421.05,408.09
Uevld,6.65,2.39,2.63,3.2,2.15,2.46,2.43,1.84,0.57,3.01,1.99
Ufc1,28.5,57.33,54.48,46.29,49.88,48.96,54.31,62.9,60.99,28.31,54.21
Ufd1,57.69,115.76,82.46,100.73,90.73,79.36,66.67,95.83,65.88,56.06,49.91
Ufl1,17.26,10.94,12.76,9.53,13.87,3.62,12.1,13.23,15.06,14.97,6.53
Ufm1,27.34,60.49,43.79,85.1,9.17,98.26,87.16,48.16,75.7,38.21,45.66
Ufsp2,41.71,42.61,33.15,33.12,39.67,32.83,23.96,29.29,29.27,33.83,31.62
Ugcg,15.57,27.46,21.86,25.14,18.18,27.73,52.42,29.74,29.14,19.95,19.5
Ugdh,10.84,6.23,6.84,9.88,4.75,9.82,9.92,6.39,6.96,10.38,9.5
Uggt1,18.17,29.53,29.7,42.96,29.58,24.22,22.03,39.61,27.43,32.35,38.64
Ugp2,80.32,84.38,95.97,62.62,87.07,50.56,62.94,66.71,45.26,55.59,75.38
Uhmk1,5.38,9.68,7.37,10.46,9.25,11.63,15.02,8.86,8.8,7.6,10.81
Uhrf1bp1,2.01,0.42,0.99,3.88,4.27,0.35,2.11,1.84,0.79,3.79,5.07
Uhrf1bp1l,12.35,10.38,11.32,9.95,14.17,4.84,8.88,5.54,12.38,25.19,4.69
Uhrf2,23.5,23.99,31,28.75,18.83,20.11,27.37,24.25,24.2,24.02,5.25
Uimc1,46.94,31.39,64.25,33.37,42.19,21.88,27.55,38.02,28.88,44.11,40.21
Ulk1,21.89,21.94,31.38,15.09,14.12,34.29,20.69,21.12,19.77,26.46,25.13
Ulk2,8,5.21,2.88,2.45,2.9,2.06,3.13,4.9,4.05,5.05,4.69
Ulk3,7.69,7.49,6.43,4.29,10.3,0.94,2.24,4.25,0.33,4.55,12.18
Umad1,21.46,32.17,25.67,46.88,49.25,21.73,36.56,32.73,20.19,20.56,21.22
Umps,10.13,1.48,9.35,4.8,4.17,2.27,6.41,15.97,2.59,3.79,8.68
Unc119,42.3,47.63,46.99,50.8,50.78,52.92,67.13,72.36,97.73,80.58,80.02
Unc119b,2.82,7.56,2.61,5.59,5.24,4.3,5.57,0.88,2.98,5.06,4.55
Unc13d,50.65,23,23.9,25.78,34.11,27.72,27.79,18.41,39.32,24.42,22.63
Unc45a,58.08,78.34,45.76,77.79,88.02,43.99,29.05,40.28,28.94,36.85,39.85
Unc50,100.45,113.04,122.69,97.39,97.47,116.28,124.25,147.62,119.14,114.92,84.31
Unc5c,0.69,0.3,0.22,0.71,0.37,1.63,0.91,0.97,0.79,2.16,1.05
Unc93b1,61.94,96.78,63.25,95.75,122.67,72,48.97,48.4,30.37,74.8,56.95
Unk,13.45,14.35,16.92,8.88,30.73,18.61,24.81,7.87,9.14,23.22,11.04
Unkl,31.16,7.07,17.17,10.32,24.37,5.61,6.15,8.41,4.11,11.12,14.64
Upf1,3.43,3.08,1.56,3.98,1.69,3.08,2.42,1.41,2.64,2.6,1.21
Upf2,8.58,12.62,7.14,11.33,10.74,6.46,3.37,8.06,8.33,2.82,10.69
Upf3a,15.31,12.99,6.53,10.66,7.37,14.47,14.65,6.16,14.42,12.44,11.03
Upf3b,22.27,14.41,12.86,17.53,12.87,8.34,7.48,10.89,12.48,16.06,10.58
Uqcc1,48.01,47.53,36.64,23.88,14.53,16.2,20.65,21.24,11.24,22.45,22.08
Uqcc2,22.61,36.77,17.98,34.89,46.62,29.58,47.95,43.56,87.22,59.28,55.32
Uqcc3,13.41,22.79,5.15,7.44,6.65,11.79,23.54,15.5,9.35,17.54,17.18
Uqcr10,161.46,324.76,255.57,306.67,166.61,259.85,320.9,152.94,334,270.2,193.78
Uqcr11,76.14,80,82.22,118.12,97.2,116.83,182.86,84.86,233.94,137.47,113.22
Uqcrb,421.06,514.9,326.31,483.72,286.21,285.65,452.52,311.99,476.92,299.47,412.74
Uqcrc1,108.92,238.94,141.01,180.52,119.27,157.33,163.49,145.69,126.46,115.43,174.85
Uqcrc2,88.9,136.38,101.19,104.89,83.86,72.07,85.78,81.62,72.23,105.8,69.52
Uqcrfs1,126.98,186.5,156.46,161.79,153.3,196.35,210.92,236.61,206.02,184.25,180.95
Uqcrh,319.28,361.96,357.21,425.24,300.48,447.97,459.99,379.8,618.02,456.97,363.25
Uqcrq,204.39,203.9,279.94,169.19,223.16,162.92,268.34,374.93,414.89,241.57,255.7
Urb1,0.71,4.71,3.77,0.56,1.26,2.34,3.04,1.89,0.88,11.2,3.92
Urb2,0.2,3.7,1.2,1.5,1.5,2.38,0.86,2.71,0.52,1.09,0.78
Urgcp,2.92,1.77,2.68,3.26,6.8,2.28,3.63,4.69,1.35,3.59,4.03
Uri1,4.52,0.51,7.47,2.11,4.94,4.42,4.62,2.05,4.07,4.7,1.53
Urm1,17.03,23.11,7.64,4.99,5.91,12.7,8.55,9.67,6.34,11.91,14.7
Urod,23.48,22,37.64,24.5,25.38,14.22,17.74,28.78,23.96,22.92,27.58
Uros,8.83,5.51,2.76,11.77,11.86,3.04,4.77,4.59,2.08,3.65,10.69
Usb1,26.11,56.79,32.54,46.27,61.39,46.71,43.62,25.94,23.47,28.13,31.98
Use1,106.86,163.25,157.22,130.76,152.83,168.78,148.63,169.28,147.15,165.95,159.14
Usf1,32.35,14.8,36.02,10.99,23.14,18.78,16.57,8.45,29.49,15.99,26.8
Usf2,26.51,60.16,35.72,38.34,32.7,39.95,32.06,38.47,33.31,32.2,35.3
Usf3,1.94,3.21,3.71,2.86,2.85,3.33,2.08,2.16,2.66,3.37,3.04
Uso1,24.72,35.19,18.91,22.65,13.14,15.87,20.12,27.41,21.68,7.59,16.42
Usp1,8.96,13.73,6.28,10.71,8.25,7.6,5.27,11.42,10.74,5.78,6.64
Usp10,6.54,35.64,4.59,17.01,9,14.47,35.66,13.11,6.97,19.72,8.8
Usp11,3.95,2.61,1.21,4.49,4.96,1.21,1.61,0.94,1.04,2.08,1.29
Usp12,11.4,12.42,11.08,5.74,4.75,4.79,6.59,6.74,7.31,5.77,5.93
Usp14,27.86,46.86,45.31,55.42,20.85,33.4,26.33,24.31,18.5,26.24,38.84
Usp15,113.63,124.76,82.61,67.19,116.87,60.91,70.34,66.28,48.6,75.95,71.85
Usp16,146.14,138.53,71.13,189.73,102.42,342.63,284.73,144.24,172.74,183.73,278.45
