gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
Mynn,18.62,23.07,14.13,18.35,37.03,22.67,18.05,15.6,13.04,22.45,12.39
Myo18a,0.96,1.01,0.56,1.04,1.4,1.14,1.33,5.21,8.04,0.72,3.36
Myo1c,100.71,148.69,99.8,163.67,165.83,91.45,77.89,73.06,87.56,79.07,75.67
Myo1d,12.27,32.02,10.91,7.93,14.76,19.33,21.87,14.66,9.04,24.7,15.74
Myo1f,143.66,121.6,143.8,129.02,179.24,130.45,120.59,142.76,104.14,126.06,159.09
Myo1g,42.31,34.39,53.71,52.41,55.24,56.64,40.18,57.61,50.47,56.62,63.48
Myo7a,17.9,12.67,14.15,12.33,21.96,4.14,9.35,7.93,5.39,9.66,12.53
Myo9a,8.82,3.83,8.33,3.58,12.89,6.3,8.33,6.63,12.46,29.62,22.13
Myo9b,48.19,52.44,62.74,60.4,49.99,42.64,43.81,56.24,55,43.43,53.48
Myof,5.61,17.37,6.11,30.1,9.28,6.61,1.61,2.91,1.48,1.28,2.14
Mysm1,23.81,19.71,16.72,7.39,21.87,11.46,17.05,13.63,11.04,12.12,11.75
Mzt1,54.09,67.44,64.83,77.27,52.5,42.47,51.89,54.55,53.16,64.53,63.45
N4bp1,6.42,4.02,4.98,3.18,3.85,13.42,18.69,18.49,14,14.53,12.1
N4bp2,6.3,9.43,4.47,3.8,14.55,8.09,11.14,5.02,9.02,5.23,6.7
N4bp2l1,206.95,120.32,232.42,146.8,204.96,234.21,199.72,239.34,201.16,209.84,175.59
N4bp2l2,53.13,61.06,60.79,57.28,41.99,67.58,53.05,42.98,44.53,35.16,31.05
N4bp3,11.53,7.15,6.88,3.57,8.57,15.56,12.32,11.27,6.78,9.02,12.79
Naa10,20.18,46.57,17.91,32.57,59.2,40.13,24.57,31.31,28.47,49.76,20.89
Naa15,22.2,29.14,9.78,16.22,7.9,16.82,20.59,18.23,20.23,15.41,17.9
Naa16,15.01,8.84,41.84,9.34,11.46,11.72,5.27,13.86,12.44,8,21.79
Naa20,26.38,32.2,38.83,23.79,29.58,22.25,14.37,29.64,4.63,30.63,21.28
Naa25,4.06,6.82,6.43,4.09,0.79,4.8,8.94,6.29,8.04,6.47,7.39
Naa30,2.09,1.71,5.94,5.48,4.27,5.73,4.27,5.29,6.67,5.16,2.95
Naa35,41.26,28.86,33.85,29.66,21.9,24.09,11.13,8.5,24.32,15.85,26.68
Naa38,62.04,30.44,32.07,41,36.29,45.2,73,38.54,56.98,40.63,44.12
Naa40,20.86,23.46,20.62,23.06,28.29,20.35,17.68,20.74,18.09,15.59,17.62
Naa50,14.73,31.51,24.29,21.58,27.45,26.14,19.68,19.98,14.3,23.62,23.48
Naa60,34.46,39.15,53.04,42.91,49.28,24.38,21,28.24,14.19,37.96,26.27
Naa80,11.15,3.32,4.39,7.69,4.76,1.64,2.58,7.54,4.19,7.6,10.17
Naaa,2.53,1.78,9.82,12.94,17.63,2.55,2.94,8.6,5.91,3.06,4.96
Nab1,24.45,66.39,32.96,45.59,21.63,48.13,53.3,25.97,41.03,24.96,26.3
Nab2,1.1,3.82,1.36,5.88,1.76,3.96,4.22,2.97,1.43,2.79,3.12
Nabp1,899.34,735.61,688.38,1071.23,1275.16,472.39,351.47,457.73,542.5,711.84,659.32
Nabp2,18.4,41.5,15.01,28.25,30.24,21.89,21.51,18.11,19.22,38.87,21.87
Naca,324.04,486.95,455.42,473.34,339.95,617.21,684.31,608.25,712.55,506.25,577.85
Nacc1,3.58,5.11,5.7,2.93,5.13,4.64,3.65,2.79,3.37,3.8,3.66
Nadk,168.39,246.74,242.47,216.92,231,307.82,445.51,308.05,236.55,209.85,219.22
Nadk2,9.57,2.63,8.56,11.92,5.28,2.35,9.27,5.12,6.65,4.02,9.81
Nadsyn1,7.9,8.78,11.75,3.23,12.49,0.82,2.66,1.95,5.28,1.64,0.65
Nae1,27.64,30.87,50.13,31.88,50.41,18.65,18.96,30.55,18.82,42.37,25.23
Naga,103.08,114.93,170.68,102.91,123.08,227.47,187.76,176.23,177.96,175.12,152.67
Nagk,14.07,23.76,29.73,7.97,34.55,17.92,14.34,7.11,26.04,13.25,15.02
Naglu,3.93,5.84,8.26,2.62,1.57,2.34,0,0.26,1.76,6.35,0.68
Nagpa,14.77,7.67,30.67,19.84,8.38,7.96,10.71,31.99,1.81,31.67,22.02
Naif1,5.89,3.39,3.66,6.13,4.09,3.87,4.83,3.68,2.18,4.29,4.34
